512,N,House,Semi-Detached,1950,EM
513,N,Flat,Unknown,1969,WM
514,N,House,Semi-Detached,1960,WM
515,N,House,Mid Terraced,1880,SW
516,N,Bungalow,Detached,1971,SW
517,N,Flat,Unknown,1900,NT
518,N,Unknown,Unknown,1935,EM
519,N,Bungalow,Semi-Detached,1960,OS
520,N,Flat,Unknown,1960,OS
521,N,House,Detached,,WM
522,N,Unknown,Unknown,1860,SW
523,N,House,Detached,1910,WM
524,N,House,Mid Terraced,1935,WM
525,N,House,Mid Terraced,1900,NW
526,N,House,Semi-Detached,1994,WM
527,N,Unknown,Unknown,1969,WM
528,N,House,Semi-Detached,1920,EM
529,N,Unknown,Unknown,,OS
530,N,House,Mid Terraced,1936,NW
531,N,Flat,Unknown,1999,LN
532,N,House,Mid Terraced,2004,LN
533,N,House,Semi-Detached,1900,WM
534,N,Flat,Unknown,1900,EM
535,N,Maisonette,Unknown,1950,WM
536,N,House,Semi-Detached,2005,EM
537,N,Bungalow,Semi-Detached,,LN
538,N,House,Mid Terraced,1975,YH
539,N,House,Detached,2002,OS
540,N,Maisonette,Unknown,1960,WM
541,N,House,Mid Terraced,1900,EM
542,N,Unknown,Unknown,1975,WM
543,N,House,Semi-Detached,1985,YH
544,N,House,Semi-Detached,1975,WM
545,N,Unknown,Unknown,1955,EM
546,N,Unknown,Unknown,1760,SW
547,N,House,Detached,1950,WM
548,N,House,Mid Terraced,1975,EM
549,N,Unknown,Unknown,1955,WM
550,N,House,Detached,1980,WM
551,N,House,Semi-Detached,1966,NT
552,N,House,Mid Terraced,1930,WM
553,N,House,Detached,1970,WM
554,N,Unknown,Unknown,1930,WM
555,N,House,Semi-Detached,1950,WM
556,N,House,Mid Terraced,1936,WM
557,N,Unknown,Unknown,1935,WM
558,N,Unknown,Unknown,1930,EM
559,N,House,Mid Terraced,1930,LN
560,N,House,Semi-Detached,1928,LN
561,N,House,Detached,1970,NT
562,N,House,Detached,1968,EM
563,N,House,Detached,1985,OS
564,N,Unknown,Unknown,1970,OS
565,N,House,Mid Terraced,1959,EM
566,N,House,Mid Terraced,1950,SW
567,N,House,Semi-Detached,1979,WM
568,N,House,Detached,2001,WM
569,N,House,Detached,1980,NT
570,N,House,Detached,2001,WM
571,N,House,Semi-Detached,1935,SW
572,N,Unknown,Unknown,1940,WM
573,N,Flat,Unknown,1980,WM
574,N,Unknown,Unknown,1945,WM
575,N,Unknown,Unknown,1950,WM
576,N,House,Detached,2001,EM
577,N,House,Semi-Detached,1970,WM
578,N,House,Semi-Detached,1800,WM
579,N,House,Detached,1985,OM
580,N,House,Mid Terraced,1979,SW
581,N,Unknown,Unknown,1960,WM
582,N,House,Semi-Detached,1930,LN
583,N,House,Detached,1997,EA
584,N,Unknown,Unknown,,EM
585,N,House,Detached,1930,SW
586,N,House,Mid Terraced,1930,NW
587,N,House,Semi-Detached,1939,WM
588,N,House,Semi-Detached,1936,NW
589,N,Flat,Unknown,1975,NW
